# MIST version number  = 1.2     
# MESA revision number =     7503
# --------------------------------------------------------------------------------------
#  Yinit        Zinit   [Fe/H]   [a/Fe]  v/vcrit                                        
# 0.2492  1.48972E-04    -2.00     0.00     0.40
# --------------------------------------------------------------------------------------
# number of isochrones =     1
# --------------------------------------------------------------------------------------
# number of EEPs, cols =  1482   79
#   1                               2                               3                               4                               5                               6                               7                               8                               9                              10                              11                              12                              13                              14                              15                              16                              17                              18                              19                              20                              21                              22                              23                              24                              25                              26                              27                              28                              29                              30                              31                              32                              33                              34                              35                              36                              37                              38                              39                              40                              41                              42                              43                              44                              45                              46                              47                              48                              49                              50                              51                              52                              53                              54                              55                              56                              57                              58                              59                              60                              61                              62                              63                              64                              65                              66                              67                              68                              69                              70                              71                              72                              73                              74                              75                              76                              77                              78                              79
# EEP                isochrone_age_yr                    initial_mass                       star_mass                       star_mdot                    he_core_mass                     c_core_mass                     o_core_mass                           log_L                  log_L_div_Ledd                          log_LH                         log_LHe                          log_LZ                        log_Teff                   log_abs_Lgrav                           log_R                           log_g                      log_surf_z                  surf_avg_omega                  surf_avg_v_rot        surf_num_c12_div_num_o16                 v_wind_Km_per_s             surf_avg_omega_crit   surf_avg_omega_div_omega_crit                 surf_avg_v_crit           surf_avg_v_div_v_crit          surf_avg_Lrad_div_Ledd               v_div_csound_surf                      surface_h1                     surface_he3                     surface_he4                     surface_li7                     surface_be9                     surface_b11                     surface_c12                     surface_c13                     surface_n14                     surface_o16                     surface_f19                    surface_ne20                    surface_na23                    surface_mg24                    surface_si28                     surface_s32                    surface_ca40                    surface_ti48                    surface_fe56                    log_center_T                  log_center_Rho               center_degeneracy                    center_omega                    center_gamma                  mass_conv_core                       center_h1                      center_he4                      center_c12                      center_n14                      center_o16                     center_ne20                     center_mg24                     center_si28                              pp                             cno                        tri_alfa                          burn_c                          burn_n                          burn_o                         c12_c12                        delta_nu                        delta_Pg                          nu_max                 acoustic_cutoff         max_conv_vel_div_csound             max_gradT_div_grada              gradT_excess_alpha                  min_Pgas_div_P              max_L_rad_div_Ledd                       e_thermal                           phase
  229         4.0000000000000119E+009         1.0506900774590351E-001         1.0506850225691172E-001        -8.6745156053391717E-017         0.0000000000000000E+000         0.0000000000000000E+000         0.0000000000000000E+000        -2.7395852617141472E+000        -7.2627978727264795E+000        -2.7393847502577500E+000        -7.4070217438077037E+001        -2.6224028375853234E+001         3.5464171623664988E+000        -6.0833071265435947E+000        -9.3994980340795775E-001         5.3358958871235327E+000        -3.8450987721578267E+000         0.0000000000000000E+000         0.0000000000000000E+000         5.4489716547575595E-001         3.1086406498891429E-010         0.0000000000000000E+000         0.0000000000000000E+000         0.0000000000000000E+000         0.0000000000000000E+000         0.0000000000000000E+000         1.3554121910945448E-015         7.4872504720320909E-001         1.9603145260880424E-003         2.4917178136867710E-001         1.2621799832750179E-017         1.6897809150828890E-012         0.0000000000000000E+000         2.4965356943153022E-005         3.0304940401391433E-007         7.3728935725641300E-006         6.1088852539372847E-005         5.3917068280577873E-009         1.2391826215136568E-005         3.1227961319054780E-007         5.8956683116949627E-006         6.5265243313073963E-006         3.1309571095430416E-006         6.8535471095471208E-007         3.3346114913570220E-008         1.5846367040640835E-005         6.6632504914233586E+000         2.7283684334264016E+000         3.7673812998855878E+000         0.0000000000000000E+000         4.3892248207872731E-001         1.0506850225691172E-001         7.4872504720197541E-001         2.4917178136867751E-001         2.4965356943153022E-005         7.3728935725641317E-006         6.1088852539372874E-005         1.2391826215136570E-005         5.8956683116949627E-006         6.5265243313073980E-006        -2.7393847503105815E+000        -1.3740019833535237E+001        -7.4070217438077037E+001        -5.8608671708586130E+001        -6.8887308172746913E+001        -7.9083589239047896E+001        -9.8999999999999986E+001         1.2458235862939064E+003         0.0000000000000000E+000         3.1583254951835406E+004         2.6787314004013268E+005         2.1544522784585698E-002         1.0040804552940452E+000         0.0000000000000000E+000         9.9999708719553848E-001         4.5556154205089360E-006         1.2301322749951571E+047         0.0000000000000000E+000
  230         4.0000000000000119E+009         1.0787294941502981E-001         1.0787241779540069E-001        -9.5203571835394582E-017         0.0000000000000000E+000         0.0000000000000000E+000         0.0000000000000000E+000        -2.7110543183741389E+000        -7.2065529297420756E+000        -2.7108595827603228E+000        -7.3651130981552029E+001        -1.7975039184250488E+001         3.5490181959128662E+000        -6.0708163074728017E+000        -9.3088639883068758E-001         5.3276440162525001E+000        -3.8450987719478658E+000         0.0000000000000000E+000         0.0000000000000000E+000         5.4489714657812116E-001         3.9297770518530416E-010         0.0000000000000000E+000         0.0000000000000000E+000         0.0000000000000000E+000         0.0000000000000000E+000         0.0000000000000000E+000         1.4639121387132477E-015         7.4863968313402485E-001         2.0455769923621988E-003         2.4917188297151832E-001         1.6203412019938307E-017         1.6897809150828573E-012         0.0000000000000000E+000         2.4965356077330174E-005         3.0305030861220054E-007         7.3728936176485386E-006         6.1088852539380856E-005         5.3917068280719271E-009         1.2391826215136335E-005         3.1227961319054187E-007         5.8956683116948500E-006         6.5265243313072717E-006         3.1309571095429819E-006         6.8535471095469916E-007         3.3346114913569585E-008         1.5846367040640533E-005         6.6702141565244473E+000         2.7116198400593841E+000         3.6253825098718599E+000         0.0000000000000000E+000         4.2858173947908546E-001         1.0787241779540069E-001         7.4863968313272544E-001         2.4917188297151907E-001         2.4965356077330171E-005         7.3728936176485403E-006         6.1088852539380870E-005         1.2391826215136335E-005         5.8956683116948509E-006         6.5265243313072717E-006        -2.7108595828410524E+000        -1.3581801587297337E+001        -7.3651130981552029E+001        -5.8228659358287878E+001        -6.8449981255628870E+001        -7.8600136244629638E+001        -9.8999999999999986E+001         1.2234626776702298E+003         0.0000000000000000E+000         3.0987539664403743E+004         2.6207055208120961E+005         2.2150932243653818E-002         1.0042234732115141E+000         0.0000000000000000E+000         9.9999655018696809E-001         5.4024678611212042E-006         1.3240860974574519E+047         0.0000000000000000E+000
  231         4.0000000000000119E+009         1.1084148898278194E-001         1.1084092817716303E-001        -1.0416207873825248E-016         0.0000000000000000E+000         0.0000000000000000E+000         0.0000000000000000E+000        -2.6808489415684762E+000        -7.1470078853691739E+000        -2.6806600759574875E+000        -7.3207610475885346E+001        -2.1557934748614954E+001         3.5517719019234555E+000        -6.0566007729060596E+000        -9.2129112244903477E-001         5.3189080811059757E+000        -3.8450987717468403E+000         0.0000000000000000E+000         0.0000000000000000E+000         5.4489712440891080E-001         4.7996214050313787E-010         0.0000000000000000E+000         0.0000000000000000E+000         0.0000000000000000E+000         0.0000000000000000E+000         0.0000000000000000E+000         1.5743565632449973E-015         7.4854526576794544E-001         2.1398477303727057E-003         2.4917202959952117E-001         2.0363626722813866E-017         1.6897809150828359E-012         0.0000000000000000E+000         2.4965355061615538E-005         3.0305136981986701E-007         7.3728936705386972E-006         6.1088852539390831E-005         5.3917068280885932E-009         1.2391826215136177E-005         3.1227961319053785E-007         5.8956683116947763E-006         6.5265243313071887E-006         3.1309571095429421E-006         6.8535471095469048E-007         3.3346114913569162E-008         1.5846367040640334E-005         6.6775843036332150E+000         2.6938887576155381E+000         3.4751211697944777E+000         0.0000000000000000E+000         4.1763905762813003E-001         1.1084092817716303E-001         7.4854526576657565E-001         2.4917202959952237E-001         2.4965355061615535E-005         7.3728936705386980E-006         6.1088852539390831E-005         1.2391826215136177E-005         5.8956683116947763E-006         6.5265243313071879E-006        -2.6806600760678059E+000        -1.3414359319191069E+001        -7.3207610475885346E+001        -5.7826486347127279E+001        -6.7987150601803066E+001        -7.8088489320827335E+001        -9.8999999999999986E+001         1.1997935841855519E+003         0.0000000000000000E+000         3.0357050788842298E+004         2.5592943824593566E+005         2.2793305142422501E-002         1.0043749809412270E+000         0.0000000000000000E+000         9.9999598114394717E-001         6.2998521303127553E-006         1.4235479451819674E+047         0.0000000000000000E+000
  232         4.0000000000000119E+009         1.1372528943309568E-001         1.1372469866161304E-001        -1.1286866349204068E-016         0.0000000000000000E+000         0.0000000000000000E+000         0.0000000000000000E+000        -2.6515066505163034E+000        -7.0891648073260090E+000        -2.6513231434760165E+000        -7.2776947305719219E+001        -2.8954925663587069E+001         3.5544469417760771E+000        -6.0415110760332471E+000        -9.1197005662819253E-001         5.3104221299394450E+000        -3.8450987715146026E+000         0.0000000000000000E+000         0.0000000000000000E+000         5.4489710048798945E-001         5.6451897886712139E-010         0.0000000000000000E+000         0.0000000000000000E+000         0.0000000000000000E+000         0.0000000000000000E+000         0.0000000000000000E+000         1.6736538856427211E-015         7.4844950061486915E-001         2.2354280549869662E-003         2.4917221442790674E-001         2.4808418418339044E-017         1.6897809150828125E-012         0.0000000000000000E+000         2.4965353965643704E-005         3.0305251488402131E-007         7.3728937276086346E-006         6.1088852539401578E-005         5.3917068281066025E-009         1.2391826215136001E-005         3.1227961319053346E-007         5.8956683116946941E-006         6.5265243313070981E-006         3.1309571095428985E-006         6.8535471095468085E-007         3.3346114913568692E-008         1.5846367040640110E-005         6.6847413298445435E+000         2.6766648083108850E+000         3.3292335748967155E+000         0.0000000000000000E+000         4.0701449741391882E-001         1.1372469866161304E-001         7.4844950061343185E-001         2.4917221442790841E-001         2.4965353965643704E-005         7.3728937276086363E-006         6.1088852539401591E-005         1.2391826215135999E-005         5.8956683116946933E-006         6.5265243313070964E-006        -2.6513231436151399E+000        -1.3251771145340241E+001        -7.2776947305719219E+001        -5.7435966485009530E+001        -6.7537729922574215E+001        -7.7591666548040749E+001        -9.8999999999999986E+001         1.1768056127660648E+003         0.0000000000000000E+000         2.9744793361864216E+004         2.4996607261205005E+005         2.3417713823378924E-002         1.0045222620961076E+000         0.0000000000000000E+000         9.9999542778985639E-001         7.1725105993104134E-006         1.5201618520796638E+047         0.0000000000000000E+000
  233         4.0000000000000119E+009         1.1650730534135061E-001         1.1650668411332549E-001        -1.2127146704274011E-016         0.0000000000000000E+000         0.0000000000000000E+000         0.0000000000000000E+000        -2.6232007605674190E+000        -7.0333651948150742E+000        -2.6230221026497418E+000        -7.2361656944958554E+001        -3.8940733045808862E+001         3.5570275289579976E+000        -6.0257342241521465E+000        -9.0297828601759178E-001         5.3022363014929637E+000        -3.8450987712556843E+000         0.0000000000000000E+000         0.0000000000000000E+000         5.4489707516893204E-001         6.4614310695198389E-010         0.0000000000000000E+000         0.0000000000000000E+000         0.0000000000000000E+000         0.0000000000000000E+000         0.0000000000000000E+000         1.7606911593551005E-015         7.4835311016375794E-001         2.3316034929536261E-003         2.4917242944096618E-001         2.9476539016540730E-017         1.6897809150827869E-012         0.0000000000000000E+000         2.4965352805614227E-005         3.0305372687891312E-007         7.3728937880147130E-006         6.1088852539412948E-005         5.3917068281256856E-009         1.2391826215135813E-005         3.1227961319052864E-007         5.8956683116946027E-006         6.5265243313069982E-006         3.1309571095428506E-006         6.8535471095467047E-007         3.3346114913568189E-008         1.5846367040639869E-005         6.6916433619748048E+000         2.6600497363181859E+000         3.1885719422361647E+000         0.0000000000000000E+000         3.9677020660081425E-001         1.1650668411332549E-001         7.4835311016225614E-001         2.4917242944096848E-001         2.4965352805614227E-005         7.3728937880147139E-006         6.1088852539412948E-005         1.2391826215135813E-005         5.8956683116946027E-006         6.5265243313069965E-006        -2.6230221028167104E+000        -1.3094986893655079E+001        -7.2361656944958554E+001        -5.7059381795098901E+001        -6.7104345546163671E+001        -7.7112571308320369E+001        -9.8999999999999972E+001         1.1546341115764387E+003         0.0000000000000000E+000         2.9154362872192778E+004         2.4421546700884090E+005         2.4020438585124728E-002         1.0046644377814284E+000         0.0000000000000000E+000         9.9999489344280434E-001         8.0152055108477332E-006         1.6133581950233888E+047         0.0000000000000000E+000
  234         4.0000000000000119E+009         1.1950621486882569E-001         1.1950555918501206E-001        -1.3033332349455181E-016         0.0000000000000000E+000         0.0000000000000000E+000         0.0000000000000000E+000        -2.5926872178641829E+000        -6.9732163418867499E+000        -2.5925134959362408E+000        -7.1914133091288221E+001        -4.9681694703219044E+001         3.5598092819378468E+000        -6.0076584358348093E+000        -8.9328502062567183E-001         5.2934113370435592E+000        -3.8450987709547602E+000         0.0000000000000000E+000         0.0000000000000000E+000         5.4489704578007259E-001         7.3418226079624734E-010         0.0000000000000000E+000         0.0000000000000000E+000         0.0000000000000000E+000         0.0000000000000000E+000         0.0000000000000000E+000         1.8531997331110965E-015         7.4824433320491268E-001         2.4400986347805128E-003         2.4917271125788487E-001         3.4870364830896950E-017         1.6897809148781374E-012         0.0000000000000000E+000         2.4965351456097710E-005         3.0305513365730444E-007         7.3728938572382003E-006         6.1088852532028705E-005         5.3917068273853060E-009         1.2391826213383012E-005         3.1227961314635730E-007         5.8956683108606708E-006         6.5265243303838330E-006         3.1309571090999816E-006         6.8535471085772819E-007         3.3346114908851440E-008         1.5846367038398427E-005         6.6990816214027031E+000         2.6421377001450699E+000         3.0369966163480782E+000         0.0000000000000000E+000         3.8573131692162710E-001         1.1950555918501206E-001         7.4824433317702710E-001         2.4917271128394805E-001         2.4965351459230516E-005         7.3728938581633983E-006         6.1088852539694529E-005         1.2391826215213875E-005         5.8956683117317442E-006         6.5265243313481123E-006        -2.5925134961332699E+000        -1.2926035090795404E+001        -7.1914133091288221E+001        -5.6653561715614060E+001        -6.6637315364063227E+001        -7.6596281158031275E+001        -9.8999999999999986E+001         1.1307358620537411E+003         0.0000000000000000E+000         2.8518009373904173E+004         2.3801796074614525E+005         2.4670559126390473E-002         1.0048178081009935E+000         0.0000000000000000E+000         9.9999431691313712E-001         8.9245575317147800E-006         1.7138146662803663E+047         0.0000000000000000E+000
  235         4.0000000000000119E+009         1.2255230961436217E-001         1.2255161674164457E-001        -1.3954450756413205E-016         0.0000000000000000E+000         0.0000000000000000E+000         0.0000000000000000E+000        -2.5616933390209669E+000        -6.9121221453621509E+000        -2.5615242916615899E+000        -7.1459957453887256E+001        -5.4652636332520160E+001         3.5626346741446482E+000        -5.9883040382083514E+000        -8.8343886561766505E-001         5.2844467673607483E+000        -3.8450987705929522E+000         0.0000000000000000E+000         0.0000000000000000E+000         5.4489701246935163E-001         8.2369733840525172E-010         0.0000000000000000E+000         0.0000000000000000E+000         0.0000000000000000E+000         0.0000000000000000E+000         0.0000000000000000E+000         1.9443018979931715E-015         7.4812897858167360E-001         2.5550541645132743E-003         2.4917311035127182E-001         4.0927546938693774E-017         1.6897809146916645E-012         0.0000000000000000E+000         2.4965349927164023E-005         3.0305672818156422E-007         7.3728939358989542E-006         6.1088852525303534E-005         5.3917068267156826E-009         1.2391826211785899E-005         3.1227961310610937E-007         5.8956683101008111E-006         6.5265243295426650E-006         3.1309571086964500E-006         6.8535471076939663E-007         3.3346114904553641E-008         1.5846367036356075E-005         6.7066314697289089E+000         2.6239425668084415E+000         2.8831633182284788E+000         0.0000000000000000E+000         3.7452752960676711E-001         1.2255161674164457E-001         7.4812897852974158E-001         2.4917311040108098E-001         2.4965349933151316E-005         7.3728939376671542E-006         6.1088852539954114E-005         1.2391826215284969E-005         5.8956683117655679E-006         6.5265243313855554E-006        -2.5615242918892043E+000        -1.2754571761935448E+001        -7.1459957453887256E+001        -5.6241695078702080E+001        -6.6163324819066602E+001        -7.6072295762277278E+001        -9.8999999999999972E+001         1.1064673961678245E+003         0.0000000000000000E+000         2.7871915930786763E+004         2.3172586094052682E+005         2.5331446372691795E-002         1.0049737479047438E+000         0.0000000000000000E+000         9.9999373049091778E-001         9.8494885787178513E-006         1.8158333902327127E+047         0.0000000000000000E+000
  236         4.0000000000000119E+009         1.2548290324650682E-001         1.2548217257828911E-001        -1.4841163116051594E-016         0.0000000000000000E+000         0.0000000000000000E+000         0.0000000000000000E+000        -2.5318747402974187E+000        -6.8533453052199453E+000        -2.5317098279667212E+000        -7.1023265286331778E+001        -5.9427289445999364E+001         3.5653529143599934E+000        -5.9684156753352573E+000        -8.7396604668658207E-001         5.2758220947168821E+000        -3.8450987701965649E+000         0.0000000000000000E+000         0.0000000000000000E+000         5.4489697745119348E-001         9.0989103847067625E-010         0.0000000000000000E+000         0.0000000000000000E+000         0.0000000000000000E+000         0.0000000000000000E+000         0.0000000000000000E+000         2.0235842591219458E-015         7.4801292609100167E-001         2.6706536410998271E-003         2.4917356336522642E-001         4.7256294941499996E-017         1.6897809145485926E-012         0.0000000000000000E+000         2.4965348320642856E-005         3.0305840445160408E-007         7.3728940188233959E-006         6.1088852520148194E-005         5.3917068262091255E-009         1.2391826210560519E-005         3.1227961307522919E-007         5.8956683095178102E-006         6.5265243288972826E-006         3.1309571083868425E-006         6.8535471070162457E-007         3.3346114901256175E-008         1.5846367034789088E-005         6.7138914211455019E+000         2.6064373459792876E+000         2.7352634457084863E+000         0.0000000000000000E+000         3.6375556482717814E-001         1.2548217257828911E-001         7.4801292602060809E-001         2.4917356343325395E-001         2.4965348328820119E-005         7.3728940212383495E-006         6.1088852540157551E-005         1.2391826215339453E-005         5.8956683117914880E-006         6.5265243314142495E-006        -2.5317098282238217E+000        -1.2589709257202815E+001        -7.1023265286331778E+001        -5.5845674440358970E+001        -6.5707569228398498E+001        -7.5568468258105156E+001        -9.9000000000000000E+001         1.0831246838625691E+003         0.0000000000000000E+000         2.7250567515594776E+004         2.2567497902724863E+005         2.5967754483298154E-002         1.0051239057307910E+000         0.0000000000000000E+000         9.9999316560174878E-001         1.0740438116841929E-005         1.9139719836704422E+047         0.0000000000000000E+000
  237         4.0000000000000119E+009         1.2834308731246921E-001         1.2834231780668620E-001        -1.5707068464076116E-016         0.0000000000000000E+000         0.0000000000000000E+000         0.0000000000000000E+000        -2.5027720914476612E+000        -6.7959799466723938E+000        -2.5026108627430483E+000        -7.0597299010193808E+001        -6.5659340840122738E+001         3.5680059055669870E+000        -5.9478077370328446E+000        -8.6472070467569140E-001         5.2674044043108132E+000        -3.8450987697556265E+000         0.0000000000000000E+000         0.0000000000000000E+000         5.4489694047312387E-001         9.9408299360019714E-010         0.0000000000000000E+000         0.0000000000000000E+000         0.0000000000000000E+000         0.0000000000000000E+000         0.0000000000000000E+000         2.0935181977967281E-015         7.4789456850734526E-001         2.7885037600428120E-003         2.4917407082979456E-001         5.3907429946052654E-017         1.6897809144744717E-012         0.0000000000000000E+000         2.4965346625344227E-005         3.0306017455729803E-007         7.3728941067253039E-006         6.1088852517486559E-005         5.3917068259613146E-009         1.2391826209926345E-005         3.1227961305924769E-007         5.8956683092160902E-006         6.5265243285632755E-006         3.1309571082266106E-006         6.8535471066655052E-007         3.3346114899549635E-008         1.5846367033978125E-005         6.7209737365562310E+000         2.5893524397585352E+000         2.5910074331141124E+000         0.0000000000000000E+000         3.5324879447210855E-001         1.2834231780668620E-001         7.4789456842736857E-001         2.4917407090724294E-001         2.4965346634656412E-005         7.3728941094754276E-006         6.1088852540272978E-005         1.2391826215368240E-005         5.8956683118051845E-006         6.5265243314294114E-006        -2.5026108630289876E+000        -1.2428896739715652E+001        -7.0597299010193808E+001        -5.5459372694989817E+001        -6.5262997394739529E+001        -7.5077003736771530E+001        -9.8999999999999986E+001         1.0603475615576856E+003         0.0000000000000000E+000         2.6644361747699990E+004         2.1977179637092300E+005         2.6586112339799406E-002         1.0052705827900559E+000         0.0000000000000000E+000         9.9999261361604996E-001         1.1610976166880019E-005         2.0097423180863643E+047         0.0000000000000000E+000
  238         4.0000000000000119E+009         1.3148490534231774E-001         1.3148409074961126E-001        -1.6659129618799462E-016         0.0000000000000000E+000         0.0000000000000000E+000         0.0000000000000000E+000        -2.4707978956424617E+000        -6.7329569299712784E+000        -2.4706401375967690E+000        -7.0129836541908347E+001        -6.7581373253891897E+001         3.5709204000415413E+000        -5.9237080516672602E+000        -8.5456259572220061E-001         5.2581530344295144E+000        -3.8450987692014786E+000         0.0000000000000000E+000         0.0000000000000000E+000         5.4489689626526894E-001         1.0866705036591731E-009         0.0000000000000000E+000         0.0000000000000000E+000         0.0000000000000000E+000         0.0000000000000000E+000         0.0000000000000000E+000         2.1750678117443147E-015         7.4775864887280152E-001         2.9236580104595356E-003         2.4917483621373956E-001         6.1814185003596317E-017         1.6897809145579050E-012         0.0000000000000000E+000         2.4965344601130335E-005         3.0306229078434781E-007         7.3728942125654630E-006         6.1088852520524303E-005         5.3917068263072853E-009         1.2391826210644109E-005         3.1227961307733571E-007         5.8956683095575800E-006         6.5265243289413063E-006         3.1309571084079628E-006         6.8535471070624799E-007         3.3346114901481121E-008         1.5846367034895983E-005         6.7287473417187487E+000         2.5705779941108369E+000         2.4326506281534419E+000         0.0000000000000000E+000         3.4171544274594162E-001         1.3148409074961126E-001         7.4775864880353149E-001         2.4917483628048162E-001         2.4965344609167627E-005         7.3728942149390814E-006         6.1088852540191148E-005         1.2391826215339443E-005         5.8956683117914846E-006         6.5265243314142461E-006        -2.4706401379143932E+000        -1.2252419819353799E+001        -7.0129836541908347E+001        -5.5035415806605386E+001        -6.4775087599691005E+001        -7.4537628603038783E+001        -9.8999999999999986E+001         1.0353268558419406E+003         0.0000000000000000E+000         2.5978511976908310E+004         2.1328830923463657E+005         2.7254199381431293E-002         1.0054319164803229E+000         0.0000000000000000E+000         9.9999200635852881E-001         1.2568462470819601E-005         2.1149226749921023E+047         0.0000000000000000E+000
